scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"T_01_BAU,date=2021-22-9T19:23:29+17:00",Global,All LandLeaf,1081.6504181564596,1085.9028284677188,1089.9123553147745,660.5685540526711,586.5505827,531.6682536019056,676.2949198033816,889.3070058149509,-45.24472367,54.92536888801487,68.72439363937676,109.60886197788825,160.72338356281296,173.60952587857906,157.97367307117483,215.8833870715035,149.37161013962705,111.69477525386597,68.22434904559505,34.77185254322904,13.176010525871364,-3.005818685,-12.16453684,-20.44930436,-29.42448081,MtC/yr
"T_02_CAT_crnt,date=2021-22-9T19:23:29+17:00",Global,All LandLeaf,1081.6504181564596,1085.9028284677188,1089.9123553147745,660.5685540526711,586.5505827,531.6682536019056,676.2949198033816,889.3070058149509,-45.25265033,-269.2776734,-299.8740544,-305.1712309,-201.3827621,-118.1133251,-127.2824047,-67.33876901,-80.09419163,-86.46173415,-110.3363792,-85.09350388,-48.75189031,-36.37780497,-44.27437731,-43.62570803,-54.70755313,MtC/yr
"T_03_CAT_cont,date=2021-22-9T19:23:29+17:00",Global,All LandLeaf,1081.6504181564596,1085.9028284677188,1089.9123553147745,660.5685540526711,586.5505827,531.6682536019056,676.2949198033816,889.3070058149509,-45.25056789,-269.2850721,-299.890246,-307.6878274,-205.8784534,-119.6839066,-129.2154391,-69.36217903,-84.92627611,-89.39282626,-112.2907564,-85.96232374,-48.86830491,-35.64530192,-44.47495456,-44.70192935,-53.78179174,MtC/yr
"T_04_NDC_cont,date=2021-22-9T19:23:29+17:00",Global,All LandLeaf,1081.6504181564596,1085.9028284677188,1089.9123553147745,660.5685540526711,586.5505827,531.6682536019056,676.2949198033816,889.3070058149509,-45.24498936,-29.95058722,-1.618871301,-203.8638884,-495.5069458,-406.2797147,-244.1980366,-37.52296904,-70.17199797,-86.28953434,-95.12442589,-79.42892643,-61.84056659,-44.57893088,-29.361568,-32.30726969,-36.91572472,MtC/yr
"T_05_NDC_incr_LTS,date=2021-22-9T19:23:28+17:00",Global,All LandLeaf,1081.6504181564596,1085.9028284677188,1089.9123553147745,660.5685540526711,586.5505827,531.6682536019056,676.2949198033816,889.3070058149509,-45.2462961,-29.95871873,-1.587276787,-229.6069141,-566.5048461,-433.5210669,-218.4489825,-36.16270413,-70.19897664,-81.15300797,-90.77382124,-77.06028809,-37.49581751,-16.5373364,-14.52887923,-19.60320584,-24.64694596,MtC/yr
"T_06_NDC_cont,date=2021-22-9T19:23:28+17:00",Global,All LandLeaf,1081.6504181564596,1085.9028284677188,1089.9123553147745,660.5685540526711,586.5505827,531.6682536019056,676.2949198033816,889.3070058149509,-45.24809706,-29.95390685,-1.613887524,-213.5382483,-495.7876475,-401.7330026,-231.7838677,-33.34773758,-69.12924163,-86.29149859,-97.22208056,-81.74681995,-63.62736573,-45.15820624,-30.33251895,-32.38151124,-36.73359622,MtC/yr
"T_07_NDC_incr_LTS,date=2021-22-9T19:23:28+17:00",Global,All LandLeaf,1081.6504181564596,1085.9028284677188,1089.9123553147745,660.5685540526711,586.5505827,531.6682536019056,676.2949198033816,889.3070058149509,-45.24362018,-29.95016372,-1.589425021,-238.5983215,-566.6265394,-429.3309946,-208.2694986,-33.72494719,-69.72226656,-81.25009668,-93.01573968,-77.65379147,-38.57683466,-16.797455,-15.28526224,-19.29847544,-24.38666625,MtC/yr
