"","model","scenario","ensemble","year","variable","value","ecs","id"
"52","ACCESS-CM2","ssp126","r1i1p1f1",1867,"global_tas",0.0383583646693069,"4.7","very likely"
"53","ACCESS-CM2","ssp126","r1i1p1f1",1867,"sst",-0.034621700980391,"4.7","very likely"
"54","ACCESS-CM2","ssp126","r1i1p1f1",1867,"land_tas",0.110920588235274,"4.7","very likely"
"55","ACCESS-CM2","ssp126","r1i1p1f1",1868,"global_tas",-0.10724801238598,"4.7","very likely"
"56","ACCESS-CM2","ssp126","r1i1p1f1",1868,"sst",-0.131518784313727,"4.7","very likely"
"57","ACCESS-CM2","ssp126","r1i1p1f1",1868,"land_tas",-0.155759411764734,"4.7","very likely"
"58","ACCESS-CM2","ssp126","r1i1p1f1",1869,"global_tas",-0.0502024304905717,"4.7","very likely"
"59","ACCESS-CM2","ssp126","r1i1p1f1",1869,"sst",-0.071235284313726,"4.7","very likely"
"60","ACCESS-CM2","ssp126","r1i1p1f1",1869,"land_tas",-0.031359411764754,"4.7","very likely"
"61","ACCESS-CM2","ssp126","r1i1p1f1",1870,"global_tas",0.0145239788550953,"4.7","very likely"
"62","ACCESS-CM2","ssp126","r1i1p1f1",1870,"sst",0.0270052156862734,"4.7","very likely"
"63","ACCESS-CM2","ssp126","r1i1p1f1",1870,"land_tas",-0.0029594117647207,"4.7","very likely"
"64","ACCESS-CM2","ssp126","r1i1p1f1",1871,"global_tas",0.0654912586679757,"4.7","very likely"
"65","ACCESS-CM2","ssp126","r1i1p1f1",1871,"sst",0.0703025490196084,"4.7","very likely"
"66","ACCESS-CM2","ssp126","r1i1p1f1",1871,"land_tas",0.00478058823529182,"4.7","very likely"
"67","ACCESS-CM2","ssp126","r1i1p1f1",1872,"global_tas",0.189934068476077,"4.7","very likely"
"68","ACCESS-CM2","ssp126","r1i1p1f1",1872,"sst",0.11822513235294,"4.7","very likely"
"69","ACCESS-CM2","ssp126","r1i1p1f1",1872,"land_tas",0.411360588235254,"4.7","very likely"
"70","ACCESS-CM2","ssp126","r1i1p1f1",1873,"global_tas",-0.091767482970738,"4.7","very likely"
"71","ACCESS-CM2","ssp126","r1i1p1f1",1873,"sst",-0.027563617647058,"4.7","very likely"
"72","ACCESS-CM2","ssp126","r1i1p1f1",1873,"land_tas",-0.0853094117647402,"4.7","very likely"
"73","ACCESS-CM2","ssp126","r1i1p1f1",1874,"global_tas",0.10273227293726,"4.7","very likely"
"74","ACCESS-CM2","ssp126","r1i1p1f1",1874,"sst",0.00895129901960708,"4.7","very likely"
"75","ACCESS-CM2","ssp126","r1i1p1f1",1874,"land_tas",0.20224058823527,"4.7","very likely"
"76","ACCESS-CM2","ssp126","r1i1p1f1",1875,"global_tas",0.0594650321503991,"4.7","very likely"
"77","ACCESS-CM2","ssp126","r1i1p1f1",1875,"sst",0.0103228823529415,"4.7","very likely"
"78","ACCESS-CM2","ssp126","r1i1p1f1",1875,"land_tas",0.0206405882352669,"4.7","very likely"
"79","ACCESS-CM2","ssp126","r1i1p1f1",1876,"global_tas",0.0131591455111106,"4.7","very likely"
"80","ACCESS-CM2","ssp126","r1i1p1f1",1876,"sst",0.00714104901960877,"4.7","very likely"
"81","ACCESS-CM2","ssp126","r1i1p1f1",1876,"land_tas",-0.0336594117647451,"4.7","very likely"
"82","ACCESS-CM2","ssp126","r1i1p1f1",1877,"global_tas",0.115523088004977,"4.7","very likely"
"83","ACCESS-CM2","ssp126","r1i1p1f1",1877,"sst",0.0529007156862741,"4.7","very likely"
"84","ACCESS-CM2","ssp126","r1i1p1f1",1877,"land_tas",0.159840588235284,"4.7","very likely"
"85","ACCESS-CM2","ssp126","r1i1p1f1",1878,"global_tas",0.0605848266517341,"4.7","very likely"
"86","ACCESS-CM2","ssp126","r1i1p1f1",1878,"sst",0.065498965686274,"4.7","very likely"
"87","ACCESS-CM2","ssp126","r1i1p1f1",1878,"land_tas",0.0165005882352602,"4.7","very likely"
"88","ACCESS-CM2","ssp126","r1i1p1f1",1879,"global_tas",0.0174811706830269,"4.7","very likely"
"89","ACCESS-CM2","ssp126","r1i1p1f1",1879,"sst",0.0580875490196072,"4.7","very likely"
"90","ACCESS-CM2","ssp126","r1i1p1f1",1879,"land_tas",-0.0188994117647212,"4.7","very likely"
"91","ACCESS-CM2","ssp126","r1i1p1f1",1880,"global_tas",-0.0320391353238847,"4.7","very likely"
"92","ACCESS-CM2","ssp126","r1i1p1f1",1880,"sst",-0.041055117647058,"4.7","very likely"
"93","ACCESS-CM2","ssp126","r1i1p1f1",1880,"land_tas",0.0138405882352686,"4.7","very likely"
"94","ACCESS-CM2","ssp126","r1i1p1f1",1881,"global_tas",0.0161196460715587,"4.7","very likely"
"95","ACCESS-CM2","ssp126","r1i1p1f1",1881,"sst",0.0168535490196079,"4.7","very likely"
