"Units","scenario","region","year","value"
"MtC/yr","T_06_NDC_cont","Global",1980,1081.65041815646
"MtC/yr","T_06_NDC_cont","Global",1985,1085.90282846772
"MtC/yr","T_06_NDC_cont","Global",1990,1089.91235531477
"MtC/yr","T_06_NDC_cont","Global",1995,660.568554052671
"MtC/yr","T_06_NDC_cont","Global",2000,586.5505827
"MtC/yr","T_06_NDC_cont","Global",2005,531.668253601906
"MtC/yr","T_06_NDC_cont","Global",2010,676.294919803382
"MtC/yr","T_06_NDC_cont","Global",2015,889.307005814951
"MtC/yr","T_06_NDC_cont","Global",2020,-45.24809706
"MtC/yr","T_06_NDC_cont","Global",2025,-29.95390685
"MtC/yr","T_06_NDC_cont","Global",2030,-1.613887524
"MtC/yr","T_06_NDC_cont","Global",2035,-213.5382483
"MtC/yr","T_06_NDC_cont","Global",2040,-495.7876475
"MtC/yr","T_06_NDC_cont","Global",2045,-401.7330026
"MtC/yr","T_06_NDC_cont","Global",2050,-231.7838677
"MtC/yr","T_06_NDC_cont","Global",2055,-33.34773758
"MtC/yr","T_06_NDC_cont","Global",2060,-69.12924163
"MtC/yr","T_06_NDC_cont","Global",2065,-86.29149859
"MtC/yr","T_06_NDC_cont","Global",2070,-97.22208056
"MtC/yr","T_06_NDC_cont","Global",2075,-81.74681995
"MtC/yr","T_06_NDC_cont","Global",2080,-63.62736573
"MtC/yr","T_06_NDC_cont","Global",2085,-45.15820624
"MtC/yr","T_06_NDC_cont","Global",2090,-30.33251895
"MtC/yr","T_06_NDC_cont","Global",2095,-32.38151124
"MtC/yr","T_06_NDC_cont","Global",2100,-36.73359622
