"Units","scenario","region","GHG","year","value"
"Gg","T_06_NDC_cont","Global","CF4",2090,3.44335636786
"Gg","T_06_NDC_cont","Global","CF4",2095,3.272215710626
"Gg","T_06_NDC_cont","Global","CF4",2100,3.068752108
"Tg","T_06_NDC_cont","Global","CH4",1990,152.45017582489
"Tg","T_06_NDC_cont","Global","CH4",2005,160.076092455975
"Tg","T_06_NDC_cont","Global","CH4",2010,176.316845525066
"Tg","T_06_NDC_cont","Global","CH4",2015,181.029564630206
"Tg","T_06_NDC_cont","Global","CH4",2020,160.713139664168
"Tg","T_06_NDC_cont","Global","CH4",2025,161.40946129834
"Tg","T_06_NDC_cont","Global","CH4",2030,162.454952271615
"Tg","T_06_NDC_cont","Global","CH4",2035,142.097442831877
"Tg","T_06_NDC_cont","Global","CH4",2040,136.15208265639
"Tg","T_06_NDC_cont","Global","CH4",2045,133.223321506973
"Tg","T_06_NDC_cont","Global","CH4",2050,133.224646561594
"Tg","T_06_NDC_cont","Global","CH4",2055,133.575140020691
"Tg","T_06_NDC_cont","Global","CH4",2060,131.755469159775
"Tg","T_06_NDC_cont","Global","CH4",2065,126.995975183579
"Tg","T_06_NDC_cont","Global","CH4",2070,119.355036487354
"Tg","T_06_NDC_cont","Global","CH4",2075,111.185387842097
"Tg","T_06_NDC_cont","Global","CH4",2080,103.691424893492
"Tg","T_06_NDC_cont","Global","CH4",2085,96.5005074060444
"Tg","T_06_NDC_cont","Global","CH4",2090,90.2532011605109
"Tg","T_06_NDC_cont","Global","CH4",2095,84.2620983391467
"Tg","T_06_NDC_cont","Global","CH4",2100,78.5251770024634
"Tg","T_06_NDC_cont","Global","CH4_AGR",1990,119.829984420546
"Tg","T_06_NDC_cont","Global","CH4_AGR",2005,130.391523952621
"Tg","T_06_NDC_cont","Global","CH4_AGR",2010,132.579883682515
"Tg","T_06_NDC_cont","Global","CH4_AGR",2015,134.435540304393
"Tg","T_06_NDC_cont","Global","CH4_AGR",2020,137.7826022
"Tg","T_06_NDC_cont","Global","CH4_AGR",2025,147.832858258103
"Tg","T_06_NDC_cont","Global","CH4_AGR",2030,159.078054075416
